math.ArrayLongIntList,A,B,C,D,E,F,G,H,I
power(5),6.400000000000001E-5,4.7000000000000004E-5,1.7E-4,8.300000000000001E-5,2.46E-4,8.6E-5,3.75E-4,4.1700000000000005E-4,0.044909000000000004
power(10),5.8E-5,1.0800000000000001E-4,1.34E-4,2.18E-4,0.005353,1.42E-4,0.001894,0.010303000000000001,0.027769000000000002
power(20),1.15E-4,3.01E-4,3.11E-4,0.005655,0.02206,4.6100000000000004E-4,0.019960000000000002,0.013184000000000001,0.12085100000000001
Time Elapsed ,0.489244
math.ArrayLongIntList,A,B,C,D,E,F,G,H,I
Initialization,0.006334,0.00427,1.7600000000000002E-4,1.45E-4,3.21E-4,1.65E-4,3.5E-4,4.26E-4,0.0010140000000000001
Traversal,1.54E-4,5.0E-5,1.06E-4,1.01E-4,2.0600000000000002E-4,1.37E-4,3.5200000000000005E-4,0.0024500000000000004,0.0019360000000000002
output(),1.64E-4,5.7E-5,1.09E-4,1.2200000000000001E-4,3.5400000000000004E-4,9.900000000000001E-5,0.001467,3.59E-4,0.0016300000000000002
getSign(),6.500000000000001E-5,4.4000000000000006E-5,4.6E-5,4.0E-5,4.1E-5,3.9E-5,4.2000000000000004E-5,3.8E-5,4.0E-5
digitCount(),0.0010910000000000002,7.3E-5,8.0E-5,6.500000000000001E-5,5.7E-5,6.2E-5,1.4800000000000002E-4,6.6E-5,1.1800000000000001E-4
equalTo(),8.400000000000001E-5,4.0E-5,2.2600000000000002E-4,3.7000000000000005E-5,4.5E-5,3.1E-5,3.9E-5,4.2000000000000004E-5,1.42E-4
lessThan(),5.6000000000000006E-5,3.7000000000000005E-5,4.2000000000000004E-5,7.6E-5,3.9E-5,3.4E-5,4.0E-5,1.27E-4,1.0300000000000001E-4
greaterThan(),5.2000000000000004E-5,4.1E-5,9.6E-5,5.3E-5,4.8E-5,3.4E-5,8.7E-5,1.09E-4,1.75E-4
add(),1.0700000000000001E-4,9.0E-6,1.1000000000000001E-5,1.2E-5,1.8E-5,1.3000000000000001E-5,2.0E-5,2.2000000000000003E-5,1.0800000000000001E-4
subtract(),5.9000000000000004E-5,2.8000000000000003E-5,3.7000000000000005E-5,4.1E-5,4.6E-5,3.6E-5,1.16E-4,5.5E-5,5.8E-5
multiply(),6.7E-5,2.0E-5,4.7000000000000004E-5,5.6000000000000006E-5,1.72E-4,5.2000000000000004E-5,3.4E-4,0.0015990000000000002,0.001266
power(5),6.6E-5,6.1000000000000005E-5,7.7E-5,1.23E-4,4.53E-4,2.0600000000000002E-4,0.004236,3.59E-4,0.0043630000000000006
power(10),6.2E-5,1.1200000000000001E-4,1.9500000000000002E-4,3.5200000000000005E-4,0.0015970000000000001,3.02E-4,0.0025,0.007379,0.015134000000000002
power(20),1.09E-4,2.65E-4,5.09E-4,9.21E-4,0.007406,0.006183,0.032624,0.004687,0.09706500000000001
Time Elapsed ,0.37512
math.ArrayLongIntList,A,B,C,D,E,F,G,H,I
Initialization,0.004648,0.005531,1.32E-4,1.31E-4,2.4E-4,1.53E-4,3.42E-4,3.5E-4,8.320000000000001E-4
Traversal,1.8E-5,6.0E-6,2.0000000000000003E-6,2.0000000000000003E-6,2.0000000000000003E-6,2.0000000000000003E-6,2.0000000000000003E-6,1.0000000000000002E-6,2.0000000000000003E-6
output(),1.4900000000000002E-4,7.900000000000001E-5,7.8E-5,4.0E-5,4.3E-5,5.6000000000000006E-5,4.5E-5,6.7E-5,4.1E-5
getSign(),6.0E-5,4.8E-5,5.3E-5,3.5000000000000004E-5,3.5000000000000004E-5,4.7000000000000004E-5,4.0E-5,4.3E-5,4.1E-5
digitCount(),0.0014160000000000002,7.500000000000001E-5,6.8E-5,5.4000000000000005E-5,6.900000000000001E-5,5.9000000000000004E-5,5.8E-5,5.5E-5,5.0E-5
equalTo(),1.2E-4,5.1000000000000006E-5,4.4000000000000006E-5,3.8E-5,5.7E-5,6.7E-5,3.8E-5,3.0E-5,2.3E-5
lessThan(),1.1E-4,6.400000000000001E-5,4.6E-5,4.2000000000000004E-5,4.3E-5,3.6E-5,3.7000000000000005E-5,2.8000000000000003E-5,2.7000000000000002E-5
greaterThan(),7.000000000000001E-5,5.3E-5,4.7000000000000004E-5,4.4000000000000006E-5,4.4000000000000006E-5,3.5000000000000004E-5,5.0E-5,3.0E-5,2.6000000000000002E-5
add(),5.0E-5,2.7000000000000002E-5,6.0E-6,5.0E-6,7.000000000000001E-6,8.000000000000001E-6,8.000000000000001E-6,7.000000000000001E-6,7.000000000000001E-6
subtract(),4.9000000000000005E-5,2.1000000000000002E-5,2.3E-5,2.5E-5,2.3E-5,2.3E-5,2.4E-5,2.1000000000000002E-5,2.1000000000000002E-5
multiply(),4.5E-5,2.3E-5,3.6E-5,2.1000000000000002E-5,1.9E-5,1.9E-5,5.7E-5,2.0E-5,1.8E-5
power(5),1.81E-4,9.400000000000001E-5,9.1E-5,8.400000000000001E-5,1.24E-4,8.300000000000001E-5,5.9000000000000004E-5,6.1000000000000005E-5,6.3E-5
power(10),1.37E-4,2.84E-4,2.6700000000000004E-4,1.94E-4,8.31E-4,1.32E-4,1.36E-4,1.46E-4,1.42E-4
power(20),2.7600000000000004E-4,9.28E-4,9.28E-4,0.002081,6.640000000000001E-4,2.99E-4,3.8100000000000005E-4,3.82E-4,0.0014860000000000001
Time Elapsed ,0.105809
math.ArrayLongIntList,A,B,C,D,E,F,G,H,I
Initialization,0.004241,0.0023030000000000004,8.800000000000001E-5,9.300000000000001E-5,2.82E-4,1.1200000000000001E-4,2.7800000000000004E-4,3.46E-4,8.600000000000001E-4
Traversal,1.5000000000000001E-4,5.5E-5,7.7E-5,9.7E-5,2.84E-4,1.24E-4,3.8E-4,3.71E-4,0.0010860000000000002
output(),1.4800000000000002E-4,5.8E-5,8.6E-5,1.4000000000000001E-4,3.33E-4,9.6E-5,3.08E-4,3.17E-4,0.001015
getSign(),5.2000000000000004E-5,6.2E-5,4.3E-5,6.1000000000000005E-5,2.6000000000000002E-5,3.9E-5,3.8E-5,3.8E-5,5.7E-5
digitCount(),9.43E-4,3.9E-5,5.5E-5,8.1E-5,4.0E-5,5.1000000000000006E-5,6.1000000000000005E-5,5.6000000000000006E-5,1.1300000000000001E-4
equalTo(),9.7E-5,5.7E-5,2.03E-4,3.6E-5,4.3E-5,3.3E-5,3.7000000000000005E-5,5.2000000000000004E-5,8.300000000000001E-5
lessThan(),7.7E-5,5.9000000000000004E-5,4.4000000000000006E-5,3.9E-5,7.8E-5,3.7000000000000005E-5,3.6E-5,7.2E-5,7.900000000000001E-5
greaterThan(),7.8E-5,6.1000000000000005E-5,4.6E-5,4.5E-5,5.0E-5,3.8E-5,5.6000000000000006E-5,8.5E-5,0.0031880000000000003
add(),5.1000000000000006E-5,9.0E-6,1.1000000000000001E-5,1.1000000000000001E-5,1.4000000000000001E-5,1.2E-5,1.5E-5,1.5E-5,0.003605
subtract(),9.800000000000001E-5,1.9E-5,4.6E-5,3.1E-5,2.8000000000000003E-5,2.2000000000000003E-5,2.8000000000000003E-5,3.5000000000000004E-5,4.8E-5
multiply(),5.3E-5,1.6000000000000003E-5,5.6000000000000006E-5,3.8E-5,8.300000000000001E-5,4.3E-5,2.1700000000000002E-4,0.0034230000000000003,0.001237
power(5),6.1000000000000005E-5,4.4000000000000006E-5,7.400000000000001E-5,1.14E-4,4.5700000000000005E-4,9.7E-5,4.13E-4,8.070000000000001E-4,0.0024100000000000002
power(10),5.4000000000000005E-5,9.6E-5,1.83E-4,3.24E-4,0.00536,1.56E-4,0.004463,0.002778,0.019659000000000003
power(20),1.0800000000000001E-4,2.7E-4,5.120000000000001E-4,0.001072,0.023217,5.22E-4,0.017703,0.007721,0.088157
Time Elapsed ,0.345573
